Time,Discharge(m^3 s^-1),Observed(m^3 s^-1),Precip(mm h^-1),PET(mm h^-1),SM(%),Fast Flow(mm*1000),Slow Flow(mm*1000)
2017-08-25 00:02,59096.68,nan,125.16,0.00,1.63,22.1618,0.0082
2017-08-25 00:04,61078.80,nan,125.16,0.00,3.12,22.2531,0.0241
2017-08-25 00:06,62100.80,nan,125.16,0.00,4.46,22.3031,0.0397
2017-08-25 00:08,63057.99,nan,125.16,0.00,5.88,22.6211,0.0526
2017-08-25 00:10,63963.34,nan,125.16,0.00,7.17,23.3347,0.0660
2017-08-25 00:12,64819.32,nan,125.16,0.00,8.34,23.4757,0.0793
2017-08-25 00:14,65628.06,nan,125.16,0.00,9.13,23.7011,0.0921
2017-08-25 00:16,66392.28,nan,125.16,0.00,10.35,24.8929,0.1021
2017-08-25 00:18,67114.27,nan,125.16,0.00,11.21,24.9196,0.1129
2017-08-25 00:20,67796.04,nan,125.16,0.00,12.63,26.4552,0.1238
2017-08-25 00:22,68440.12,nan,125.16,0.00,13.16,26.8156,0.1297
2017-08-25 00:24,69049.42,nan,125.16,0.00,13.72,26.9547,0.1409
2017-08-25 00:26,69624.59,nan,125.16,0.00,14.24,27.3274,0.1497
2017-08-25 00:28,70168.64,nan,125.16,0.00,14.97,27.8818,0.1541
2017-08-25 00:30,70682.84,nan,125.16,0.00,15.83,27.9476,0.1627
2017-08-25 00:32,71168.91,nan,125.16,0.00,16.27,28.0754,0.1717
2017-08-25 00:34,71628.61,nan,125.16,0.00,16.56,28.7826,0.1757
2017-08-25 00:36,72063.32,nan,125.16,0.00,17.14,28.9912,0.1821
2017-08-25 00:38,72474.38,nan,125.16,0.00,17.71,29.2272,0.1855
2017-08-25 00:40,72863.28,nan,125.16,0.00,18.58,29.8705,0.1917
2017-08-25 00:42,73231.35,nan,125.16,0.00,18.79,29.9238,0.1962
2017-08-25 00:44,73579.52,nan,125.16,0.00,19.15,29.9335,0.1987
2017-08-25 00:46,73909.02,nan,125.16,0.00,19.61,30.0491,0.2034
2017-08-25 00:48,74220.77,nan,125.16,0.00,19.79,30.2210,0.2060
2017-08-25 00:50,74516.03,nan,125.16,0.00,20.01,30.2342,0.2119
2017-08-25 00:52,74795.85,nan,125.16,0.00,20.13,30.2629,0.2137
2017-08-25 00:54,75060.54,nan,125.16,0.00,20.23,30.2867,0.2163
2017-08-25 00:56,75311.69,nan,125.16,0.00,20.31,30.3010,0.2171
2017-08-25 00:58,75549.16,nan,125.16,0.00,20.39,30.6238,0.2256
2017-08-25 01:00,75774.31,nan,125.16,0.00,20.57,30.6291,0.2278
2017-08-25 01:02,75988.02,nan,125.16,0.00,21.24,30.8230,0.2285
2017-08-25 01:04,76190.34,nan,125.16,0.00,21.76,30.8252,0.2315
2017-08-25 01:06,76382.38,nan,125.16,0.00,21.87,30.8321,0.2321
2017-08-25 01:08,76564.51,nan,125.16,0.00,21.90,30.8438,0.2325
2017-08-25 01:10,76737.15,nan,125.16,0.00,21.98,30.8583,0.2403
2017-08-25 01:12,76901.55,nan,125.16,0.00,22.21,31.2500,0.2407
2017-08-25 01:14,77057.08,nan,125.16,0.00,22.33,31.2500,0.2418
2017-08-25 01:16,77205.13,nan,125.16,0.00,22.39,31.2500,0.2429
2017-08-25 01:18,77345.72,nan,125.16,0.00,22.53,31.2500,0.2437
2017-08-25 01:20,77479.16,nan,125.16,0.00,22.55,31.2500,0.2441
2017-08-25 01:22,77605.90,nan,125.16,0.00,23.18,31.2500,0.2441
2017-08-25 01:24,77726.55,nan,125.16,0.00,23.21,31.2500,0.2442
2017-08-25 01:26,77841.38,nan,125.16,0.00,23.36,31.2500,0.2443
2017-08-25 01:28,77951.45,nan,125.16,0.00,23.39,31.2500,0.2446
2017-08-25 01:30,78055.51,nan,125.16,0.00,23.42,31.2500,0.2459
2017-08-25 01:32,78154.76,nan,125.16,0.00,23.44,31.2500,0.2460
2017-08-25 01:34,78249.38,nan,125.16,0.00,23.48,31.2500,0.2463
2017-08-25 01:36,78339.17,nan,125.16,0.00,23.49,31.2500,0.2471
2017-08-25 01:38,78425.23,nan,125.16,0.00,23.50,31.2500,0.2493
2017-08-25 01:40,78507.88,nan,125.16,0.00,23.54,31.2500,0.2494
2017-08-25 01:42,78586.09,nan,125.16,0.00,23.68,31.2500,0.2497
2017-08-25 01:44,78661.10,nan,125.16,0.00,23.69,31.2500,0.2497
2017-08-25 01:46,78732.89,nan,125.16,0.00,23.75,31.2500,0.2500
2017-08-25 01:48,78801.76,nan,125.16,0.00,23.83,31.2500,0.2511
2017-08-25 01:50,78867.91,nan,125.16,0.00,23.96,31.2500,0.2512
2017-08-25 01:52,78931.55,nan,125.16,0.00,24.42,31.2500,0.2513
2017-08-25 01:54,78992.08,nan,125.16,0.00,24.47,31.2500,0.2515
2017-08-25 01:56,79050.82,nan,125.16,0.00,24.64,31.2500,0.2526
2017-08-25 01:58,79107.02,nan,125.16,0.00,24.64,31.2500,0.2527
2017-08-25 02:00,79161.30,nan,125.16,0.00,24.65,31.2500,0.2527
2017-08-25 02:02,1956.63,nan,0.00,0.00,24.65,0.0000,0.0000
2017-08-25 02:04,421.62,nan,0.00,0.00,24.65,0.0000,0.0000
2017-08-25 02:06,211.89,nan,0.00,0.00,24.65,0.0000,0.0000
2017-08-25 02:08,121.81,nan,0.00,0.00,24.65,0.0000,0.0000
2017-08-25 02:10,76.61,nan,0.00,0.00,24.65,0.0000,0.0000
