[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
Time = 2017-08-25 00:00:00, steps=0 (0s)
[]
Time = 2017-08-25 00:02:00, delta t in [0.38154289, 0.73084434], steps=281 (1s)
Time = 2017-08-25 00:04:00, delta t in [0.43988959, 0.44130765], steps=273 (1s)
Time = 2017-08-25 00:06:00, delta t in [0.44130942, 0.44206142], steps=272 (1s)
Time = 2017-08-25 00:08:00, delta t in [0.44206210, 0.44225394], steps=272 (1s)
Time = 2017-08-25 00:10:00, delta t in [0.44225408, 0.44231280], steps=272 (1s)
Time = 2017-08-25 00:12:00, delta t in [0.44230045, 0.44231416], steps=272 (1s)
Time = 2017-08-25 00:14:00, delta t in [0.44228282, 0.44233619], steps=272 (1s)
Time = 2017-08-25 00:16:00, delta t in [0.44226280, 0.44265954], steps=272 (1s)
Time = 2017-08-25 00:18:00, delta t in [0.44266022, 0.44321436], steps=271 (1s)
Time = 2017-08-25 00:20:00, delta t in [0.44321581, 0.44347202], steps=271 (1s)
Time = 2017-08-25 00:22:00, delta t in [0.44347228, 0.44361100], steps=271 (1s)
Time = 2017-08-25 00:24:00, delta t in [0.44361134, 0.44382629], steps=271 (1s)
Time = 2017-08-25 00:26:00, delta t in [0.44382671, 0.44407994], steps=271 (1s)
Time = 2017-08-25 00:28:00, delta t in [0.43783128, 0.44414950], steps=272 (1s)
Time = 2017-08-25 00:30:00, delta t in [0.42965628, 0.43781608], steps=277 (1s)
Time = 2017-08-25 00:32:00, delta t in [0.42322898, 0.42963605], steps=282 (1s)
Time = 2017-08-25 00:34:00, delta t in [0.41774148, 0.42322024], steps=286 (1s)
Time = 2017-08-25 00:36:00, delta t in [0.41288386, 0.41773419], steps=289 (1s)
Time = 2017-08-25 00:38:00, delta t in [0.40866624, 0.41286828], steps=293 (1s)
Time = 2017-08-25 00:40:00, delta t in [0.40490600, 0.40866379], steps=295 (1s)
Time = 2017-08-25 00:42:00, delta t in [0.40165508, 0.40489349], steps=298 (1s)
Time = 2017-08-25 00:44:00, delta t in [0.39918351, 0.40164928], steps=300 (1s)
Time = 2017-08-25 00:46:00, delta t in [0.39715671, 0.39917813], steps=302 (1s)
Time = 2017-08-25 00:48:00, delta t in [0.39553081, 0.39715432], steps=303 (1s)
Time = 2017-08-25 00:50:00, delta t in [0.39412483, 0.39552687], steps=304 (1s)
Time = 2017-08-25 00:52:00, delta t in [0.39298462, 0.39412099], steps=305 (1s)
Time = 2017-08-25 00:54:00, delta t in [0.39203162, 0.39298149], steps=306 (1s)
Time = 2017-08-25 00:56:00, delta t in [0.39119762, 0.39202951], steps=307 (1s)
Time = 2017-08-25 00:58:00, delta t in [0.39043351, 0.39119651], steps=308 (1s)
Time = 2017-08-25 01:00:00, delta t in [0.38973830, 0.39043339], steps=308 (1s)
Time = 2017-08-25 01:02:00, delta t in [0.38903207, 0.38973693], steps=309 (1s)
Time = 2017-08-25 01:04:00, delta t in [0.38820483, 0.38903164], steps=309 (1s)
Time = 2017-08-25 01:06:00, delta t in [0.38725748, 0.38820257], steps=310 (1s)
Time = 2017-08-25 01:08:00, delta t in [0.38627723, 0.38725594], steps=311 (1s)
Time = 2017-08-25 01:10:00, delta t in [0.38526067, 0.38627640], steps=312 (1s)
Time = 2017-08-25 01:12:00, delta t in [0.38424641, 0.38526047], steps=312 (1s)
Time = 2017-08-25 01:14:00, delta t in [0.38336623, 0.38424372], steps=313 (1s)
Time = 2017-08-25 01:16:00, delta t in [0.38254839, 0.38336445], steps=314 (1s)
Time = 2017-08-25 01:18:00, delta t in [0.38177734, 0.38254750], steps=315 (1s)
Time = 2017-08-25 01:20:00, delta t in [0.38104862, 0.38177733], steps=315 (1s)
Time = 2017-08-25 01:22:00, delta t in [0.38035468, 0.38104722], steps=316 (1s)
Time = 2017-08-25 01:24:00, delta t in [0.37968076, 0.38035422], steps=316 (1s)
Time = 2017-08-25 01:26:00, delta t in [0.37903353, 0.37967912], steps=317 (1s)
Time = 2017-08-25 01:28:00, delta t in [0.37677519, 0.37903288], steps=318 (1s)
Time = 2017-08-25 01:30:00, delta t in [0.37348399, 0.37677266], steps=320 (1s)
Time = 2017-08-25 01:32:00, delta t in [0.36456632, 0.37347493], steps=324 (1s)
Time = 2017-08-25 01:34:00, delta t in [0.35532112, 0.36453932], steps=336 (1s)
Time = 2017-08-25 01:36:00, delta t in [0.34651595, 0.35636399], steps=341 (1s)
Time = 2017-08-25 01:38:00, delta t in [0.33589865, 0.34651123], steps=353 (1s)
Time = 2017-08-25 01:40:00, delta t in [0.33022335, 0.33589014], steps=361 (1s)
