Time,Discharge(m^3 s^-1),Observed(m^3 s^-1),Precip(mm h^-1),PET(mm h^-1),SM(%),Fast Flow(mm*1000),Slow Flow(mm*1000)
2017-08-25 00:02,0.52,nan,98.11,0.03,4.99,7.0472,0.0328
2017-08-25 00:04,0.45,nan,98.11,0.03,9.72,7.9739,0.0965
2017-08-25 00:06,0.81,nan,98.11,0.03,14.03,8.8585,0.1570
2017-08-25 00:08,1.08,nan,98.11,0.03,17.97,9.5391,0.2117
2017-08-25 00:10,1.71,nan,98.11,0.03,22.23,10.3253,0.2645
2017-08-25 00:12,1.82,nan,98.11,0.03,25.94,11.1015,0.3173
2017-08-25 00:14,1.18,nan,98.11,0.03,28.98,11.7713,0.3676
2017-08-25 00:16,1.76,nan,98.11,0.03,32.30,12.2206,0.4092
2017-08-25 00:18,2.94,nan,98.11,0.03,35.05,13.0448,0.4537
2017-08-25 00:20,3.37,nan,98.11,0.03,38.00,13.7853,0.4932
2017-08-25 00:22,3.19,nan,98.11,0.03,41.14,14.2300,0.5301
2017-08-25 00:24,2.53,nan,98.11,0.03,43.29,14.6787,0.5621
2017-08-25 00:26,2.53,nan,98.11,0.03,45.23,14.9867,0.6030
2017-08-25 00:28,3.42,nan,98.11,0.03,47.58,15.3630,0.6346
2017-08-25 00:30,3.95,nan,98.11,0.03,49.78,15.7434,0.6633
2017-08-25 00:32,3.93,nan,98.11,0.03,51.75,16.5359,0.6918
2017-08-25 00:34,3.45,nan,98.11,0.03,53.30,16.8934,0.7172
2017-08-25 00:36,2.53,nan,98.11,0.03,55.22,17.2717,0.7448
2017-08-25 00:38,3.20,nan,98.11,0.03,57.21,17.6299,0.7678
2017-08-25 00:40,3.19,nan,98.11,0.03,58.49,17.8756,0.7878
2017-08-25 00:42,4.17,nan,98.11,0.03,59.69,18.0595,0.8092
2017-08-25 00:44,4.35,nan,98.11,0.03,61.56,18.2360,0.8267
2017-08-25 00:46,4.37,nan,98.11,0.03,62.75,18.4449,0.8540
2017-08-25 00:48,4.94,nan,98.11,0.03,63.93,18.5863,0.8708
2017-08-25 00:50,5.54,nan,98.11,0.03,65.03,18.7125,0.8852
2017-08-25 00:52,5.17,nan,98.11,0.03,65.94,19.0321,0.9011
2017-08-25 00:54,4.36,nan,98.11,0.03,66.87,19.6481,0.9140
2017-08-25 00:56,4.20,nan,98.11,0.03,67.79,19.8290,0.9260
2017-08-25 00:58,4.95,nan,98.11,0.03,68.52,20.0132,0.9386
2017-08-25 01:00,4.21,nan,98.11,0.03,69.23,20.2242,0.9522
2017-08-25 01:02,5.12,nan,98.11,0.03,70.00,20.5287,0.9648
2017-08-25 01:04,6.16,nan,98.11,0.03,72.20,20.6997,0.9752
2017-08-25 01:06,6.13,nan,98.11,0.03,72.99,20.8364,0.9838
2017-08-25 01:08,5.95,nan,98.11,0.03,73.76,20.9821,0.9924
2017-08-25 01:10,5.70,nan,98.11,0.03,74.43,21.1175,1.0119
2017-08-25 01:12,5.11,nan,98.11,0.03,75.16,21.2227,1.0205
2017-08-25 01:14,5.07,nan,98.11,0.03,75.82,21.3411,1.0294
2017-08-25 01:16,6.13,nan,98.11,0.03,76.37,21.4436,1.0382
2017-08-25 01:18,6.19,nan,98.11,0.03,76.97,21.5325,1.0458
2017-08-25 01:20,5.41,nan,98.11,0.03,77.49,21.6266,1.0534
2017-08-25 01:22,5.48,nan,98.11,0.03,77.97,21.7938,1.0603
2017-08-25 01:24,5.35,nan,98.11,0.03,78.45,22.0288,1.0664
