,Stage_sim,Stage_obs,Velocity_sim,Q_obs
2017-04-05 05:00:00,15.0,23.19909,0.0,654.5
2017-04-05 06:00:00,6.057821,23.216616000000002,1.1010742,679.5
2017-04-05 07:00:00,6.6569853,23.229570000000002,1.7416769,698.5
2017-04-05 08:00:00,6.969149,23.242524,2.0733833,716.5
2017-04-05 09:00:00,7.0753484,23.263098,2.1851878,742.5
2017-04-05 10:00:00,7.052962,23.281385999999998,2.1609437,765.75
2017-04-05 11:00:00,6.9043,23.30196,2.0094063,792.0
2017-04-05 12:00:00,6.905028,23.324820000000003,2.0101538,822.0
2017-04-05 13:00:00,6.9150276,23.34006,2.0203547,842.0
2017-04-05 14:00:00,7.125271,23.364444000000002,2.2359169,874.0
2017-04-05 15:00:00,7.0894465,23.386542000000002,2.1993384,902.25
2017-04-05 16:00:00,7.0517125,23.407878,2.1607335,929.0
2017-04-05 17:00:00,7.021155,23.426166000000002,2.1288595,952.0
2017-04-05 18:00:00,7.002611,23.445216000000002,2.108932,976.75
2017-04-05 19:00:00,6.978283,23.452835999999998,2.0829887,986.0
2017-04-05 20:00:00,6.9464793,23.4696,2.0486815,1010.0
2017-04-05 21:00:00,6.9097486,23.474934000000005,2.0088644,1015.0
2017-04-05 22:00:00,6.8713865,23.482554000000004,1.9670298,1025.0
2017-04-05 23:00:00,6.8223743,23.486364000000002,1.9141642,1030.0
2017-04-06 00:00:00,6.7472997,23.480268,1.8355219,1020.0
