,Stage_sim,Stage_obs,Velocity_sim,Q_obs,excessive_rain,SM
2017-04-01 05:00:00,64.0,,0.0,,0.0,0.01
2017-04-01 06:00:00,54.06645,22.652735999999997,0.012774226,100.0,0.0,0.01
2017-04-01 07:00:00,54.006557,22.650450000000003,0.0006383316,98.875,0.0,0.009998919
2017-04-01 08:00:00,54.00032,22.648926000000003,0.0,98.075,0.0,0.009998912
2017-04-01 09:00:00,54.0001,22.645878,0.0,96.39999999999999,0.0,0.009998513
2017-04-01 10:00:00,54.000046,22.64283,0.0,94.80000000000001,0.0,0.009998153
2017-04-01 11:00:00,54.000027,22.63902,0.0,92.8,0.0,0.009997407
2017-04-01 12:00:00,54.00002,22.63521,0.0,90.80000000000001,0.0,0.009996999
2017-04-01 13:00:00,54.00001,22.630638,0.0,88.45,0.0,0.009996136
2017-04-01 14:00:00,54.000008,22.628352,0.0,87.3,0.0,0.009995847
2017-04-01 15:00:00,54.000008,22.62759,0.0,86.9,0.0,0.009995797
2017-04-01 16:00:00,54.000004,22.626066,0.0,86.125,0.0,0.009994987
2017-04-01 17:00:00,54.000004,22.625304000000003,0.0,85.725,0.0,0.009994963
2017-04-01 18:00:00,54.000004,22.625304000000003,0.0,85.7,0.0,0.009994502
2017-04-01 19:00:00,54.000004,22.624542,0.0,85.375,0.0,0.009993582
2017-04-01 20:00:00,54.000004,22.628352000000003,0.0,87.275,0.0,0.0099926535
2017-04-01 21:00:00,54.000004,22.631400000000003,0.0,88.82499999999999,0.0,0.009992279
2017-04-01 22:00:00,54.000004,22.633685999999997,0.0,90.0,0.0,0.009992276
2017-04-01 23:00:00,54.0,22.631400000000003,0.0,88.8,0.0,0.009992038
2017-04-02 00:00:00,54.0,22.632924,0.0,89.60000000000001,0.0,0.009991213
2017-04-02 01:00:00,54.0,22.629876000000003,0.0,88.05,0.0,0.009990287
2017-04-02 02:00:00,54.0,22.626828,0.0,86.5,0.0,0.00998925
2017-04-02 03:00:00,54.0,22.624542,0.0,85.325,0.0,0.009988937
2017-04-02 04:00:00,54.0,22.623018000000002,0.0,84.575,0.0,0.009988061
2017-04-02 05:00:00,54.0,22.61997,0.0,83.075,0.0,0.009987247
