[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
Time = 2017-08-25 12:00:00, steps=0 (0s)
Time = 2017-08-25 12:15:00, delta t in [0.24488868, 0.80326000], steps=2023 (7s)
Time = 2017-08-25 12:30:00, delta t in [0.27230882, 0.34315926], steps=2982 (11s)
Time = 2017-08-25 12:45:00, delta t in [0.23821241, 0.27229861], steps=3562 (14s)
Time = 2017-08-25 13:00:00, delta t in [0.22434128, 0.23820715], steps=3912 (15s)
Time = 2017-08-25 13:15:00, delta t in [0.21792064, 0.22433961], steps=4076 (16s)
Time = 2017-08-25 13:30:00, delta t in [0.21384272, 0.21791961], steps=4172 (16s)
Time = 2017-08-25 13:45:00, delta t in [0.21067695, 0.21384248], steps=4242 (16s)
Time = 2017-08-25 14:00:00, delta t in [0.20791120, 0.21067693], steps=4301 (17s)
Time = 2017-08-25 14:15:00, delta t in [0.20530974, 0.20791068], steps=4356 (17s)
Time = 2017-08-25 14:30:00, delta t in [0.20272284, 0.20530915], steps=4412 (17s)
Time = 2017-08-25 14:45:00, delta t in [0.20029963, 0.20272255], steps=4467 (17s)
Time = 2017-08-25 15:00:00, delta t in [0.19810511, 0.20029922], steps=4519 (17s)
Time = 2017-08-25 15:15:00, delta t in [0.19608379, 0.19810493], steps=4567 (18s)
Time = 2017-08-25 15:30:00, delta t in [0.19426216, 0.19608347], steps=4612 (18s)
Time = 2017-08-25 15:45:00, delta t in [0.19263446, 0.19426190], steps=4653 (18s)
Time = 2017-08-25 16:00:00, delta t in [0.19120884, 0.19263418], steps=4690 (18s)
Time = 2017-08-25 16:15:00, delta t in [0.18998105, 0.19120860], steps=4723 (18s)
Time = 2017-08-25 16:30:00, delta t in [0.18895300, 0.18998094], steps=4751 (18s)
Time = 2017-08-25 16:45:00, delta t in [0.18813778, 0.18895288], steps=4774 (19s)
Time = 2017-08-25 17:00:00, delta t in [0.18751258, 0.18813766], steps=4793 (18s)
Time = 2017-08-25 17:15:00, delta t in [0.18705789, 0.18751257], steps=4806 (19s)
Time = 2017-08-25 17:30:00, delta t in [0.18675738, 0.18705782], steps=4816 (19s)
Time = 2017-08-25 17:45:00, delta t in [0.18659329, 0.18675735], steps=4822 (19s)
Time = 2017-08-25 18:00:00, delta t in [0.18655037, 0.18659328], steps=4825 (19s)
Time = 2017-08-25 18:15:00, delta t in [0.18655133, 0.18661729], steps=4824 (19s)
Time = 2017-08-25 18:30:00, delta t in [0.18661731, 0.18678267], steps=4821 (19s)
Time = 2017-08-25 18:45:00, delta t in [0.18678270, 0.18703259], steps=4816 (19s)
Time = 2017-08-25 19:00:00, delta t in [0.18703261, 0.18735498], steps=4809 (19s)
Time = 2017-08-25 19:15:00, delta t in [0.18735498, 0.18766726], steps=4800 (19s)
Time = 2017-08-25 19:30:00, delta t in [0.18766730, 0.18794545], steps=4793 (18s)
Time = 2017-08-25 19:45:00, delta t in [0.18794545, 0.18825571], steps=4785 (18s)
Time = 2017-08-25 20:00:00, delta t in [0.18825577, 0.18862096], steps=4777 (18s)
Time = 2017-08-25 20:15:00, delta t in [0.18862098, 0.18903138], steps=4767 (18s)
Time = 2017-08-25 20:30:00, delta t in [0.18903141, 0.18947461], steps=4756 (18s)
Time = 2017-08-25 20:45:00, delta t in [0.18947467, 0.18994346], steps=4745 (18s)
Time = 2017-08-25 21:00:00, delta t in [0.18994347, 0.19041876], steps=4733 (18s)
Time = 2017-08-25 21:15:00, delta t in [0.19041879, 0.19089219], steps=4721 (18s)
Time = 2017-08-25 21:30:00, delta t in [0.19089225, 0.19136330], steps=4709 (18s)
Time = 2017-08-25 21:45:00, delta t in [0.19136339, 0.19183373], steps=4698 (18s)
Time = 2017-08-25 22:00:00, delta t in [0.19183377, 0.19231746], steps=4686 (18s)
Time = 2017-08-25 22:15:00, delta t in [0.19231753, 0.19282038], steps=4674 (20s)
Time = 2017-08-25 22:30:00, delta t in [0.19282045, 0.19334781], steps=4662 (20s)
Time = 2017-08-25 22:45:00, delta t in [0.19334784, 0.19389605], steps=4649 (20s)
Time = 2017-08-25 23:00:00, delta t in [0.19389608, 0.19445981], steps=4635 (19s)
Time = 2017-08-25 23:15:00, delta t in [0.19445993, 0.19504187], steps=4622 (19s)
Time = 2017-08-25 23:30:00, delta t in [0.19504191, 0.19564353], steps=4608 (18s)
Time = 2017-08-25 23:45:00, delta t in [0.19564357, 0.19627887], steps=4593 (18s)
Time = 2017-08-26 00:00:00, delta t in [0.19622148, 0.19654075], steps=4583 (18s)
Time = 2017-08-26 00:15:00, delta t in [0.19572482, 0.19622140], steps=4593 (18s)
Time = 2017-08-26 00:30:00, delta t in [0.19526520, 0.19572476], steps=4604 (18s)
Time = 2017-08-26 00:45:00, delta t in [0.19484331, 0.19526513], steps=4615 (18s)
Time = 2017-08-26 01:00:00, delta t in [0.19445803, 0.19484329], steps=4624 (18s)
Time = 2017-08-26 01:15:00, delta t in [0.19410766, 0.19445797], steps=4633 (18s)
Time = 2017-08-26 01:30:00, delta t in [0.19378959, 0.19410763], steps=4641 (18s)
Time = 2017-08-26 01:45:00, delta t in [0.19350075, 0.19378956], steps=4648 (19s)
Time = 2017-08-26 02:00:00, delta t in [0.19324072, 0.19350070], steps=4655 (18s)
Time = 2017-08-26 02:15:00, delta t in [0.19300505, 0.19324070], steps=4661 (19s)
Time = 2017-08-26 02:30:00, delta t in [0.19279368, 0.19300503], steps=4666 (19s)
Time = 2017-08-26 02:45:00, delta t in [0.19259569, 0.19279365], steps=4671 (20s)
Time = 2017-08-26 03:00:00, delta t in [0.19240873, 0.19259566], steps=4676 (20s)
Time = 2017-08-26 03:15:00, delta t in [0.19224030, 0.19240871], steps=4680 (20s)
Time = 2017-08-26 03:30:00, delta t in [0.19208445, 0.19224028], steps=4684 (20s)
Time = 2017-08-26 03:45:00, delta t in [0.19193693, 0.19208443], steps=4688 (19s)
Time = 2017-08-26 04:00:00, delta t in [0.19179343, 0.19193693], steps=4691 (18s)
Time = 2017-08-26 04:15:00, delta t in [0.19165081, 0.19179341], steps=4695 (18s)
Time = 2017-08-26 04:30:00, delta t in [0.19151040, 0.19165080], steps=4698 (18s)
Time = 2017-08-26 04:45:00, delta t in [0.19137536, 0.19151038], steps=4702 (18s)
Time = 2017-08-26 05:00:00, delta t in [0.19124733, 0.19137535], steps=4705 (18s)
Time = 2017-08-26 05:15:00, delta t in [0.19112202, 0.19124732], steps=4708 (19s)
Time = 2017-08-26 05:30:00, delta t in [0.19099924, 0.19112201], steps=4711 (18s)
Time = 2017-08-26 05:45:00, delta t in [0.19088441, 0.19099922], steps=4714 (19s)
Time = 2017-08-26 06:00:00, delta t in [0.19077774, 0.19088440], steps=4717 (18s)
Time = 2017-08-26 06:15:00, delta t in [0.19067834, 0.19077773], steps=4719 (18s)
Time = 2017-08-26 06:30:00, delta t in [0.19058454, 0.19067832], steps=4722 (18s)
Time = 2017-08-26 06:45:00, delta t in [0.19049448, 0.19058454], steps=4724 (19s)
Time = 2017-08-26 07:00:00, delta t in [0.19040812, 0.19049447], steps=4726 (19s)
Time = 2017-08-26 07:15:00, delta t in [0.19032793, 0.19040811], steps=4728 (19s)
Time = 2017-08-26 07:30:00, delta t in [0.19025491, 0.19032792], steps=4730 (19s)
Time = 2017-08-26 07:45:00, delta t in [0.19019023, 0.19025490], steps=4732 (18s)
Time = 2017-08-26 08:00:00, delta t in [0.19013482, 0.19019022], steps=4733 (18s)
Time = 2017-08-26 08:15:00, delta t in [0.19008872, 0.19013481], steps=4735 (18s)
Time = 2017-08-26 08:30:00, delta t in [0.19005211, 0.19008872], steps=4736 (18s)
Time = 2017-08-26 08:45:00, delta t in [0.19002499, 0.19005211], steps=4736 (18s)
Time = 2017-08-26 09:00:00, delta t in [0.19000654, 0.19002499], steps=4737 (18s)
Time = 2017-08-26 09:15:00, delta t in [0.18999543, 0.19000654], steps=4737 (18s)
Time = 2017-08-26 09:30:00, delta t in [0.18998828, 0.18999543], steps=4738 (18s)
Time = 2017-08-26 09:45:00, delta t in [0.18997525, 0.18998828], steps=4738 (18s)
Time = 2017-08-26 10:00:00, delta t in [0.18994922, 0.18997525], steps=4738 (18s)
Time = 2017-08-26 10:15:00, delta t in [0.18990677, 0.18994922], steps=4739 (18s)
Time = 2017-08-26 10:30:00, delta t in [0.18984273, 0.18990677], steps=4740 (18s)
Time = 2017-08-26 10:45:00, delta t in [0.18975153, 0.18984271], steps=4742 (18s)
Time = 2017-08-26 11:00:00, delta t in [0.18963035, 0.18975151], steps=4745 (18s)
Time = 2017-08-26 11:15:00, delta t in [0.18947269, 0.18963034], steps=4748 (18s)
Time = 2017-08-26 11:30:00, delta t in [0.18927655, 0.18947265], steps=4753 (18s)
Time = 2017-08-26 11:45:00, delta t in [0.18900752, 0.18927653], steps=4759 (18s)
Time = 2017-08-26 12:00:00, delta t in [0.18860829, 0.18900751], steps=4767 (18s)
Time = 2017-08-26 12:15:00, delta t in [0.18799392, 0.18860825], steps=4780 (18s)
Time = 2017-08-26 12:30:00, delta t in [0.18709878, 0.18799391], steps=4799 (18s)
Time = 2017-08-26 12:45:00, delta t in [0.18579303, 0.18709876], steps=4827 (18s)
Time = 2017-08-26 13:00:00, delta t in [0.17842211, 0.18579298], steps=4926 (18s)
Time = 2017-08-26 13:15:00, delta t in [0.17037791, 0.17842052], steps=5167 (19s)
Time = 2017-08-26 13:30:00, delta t in [0.16390974, 0.17037704], steps=5388 (20s)
Time = 2017-08-26 13:45:00, delta t in [0.15880653, 0.16390964], steps=5583 (21s)
Time = 2017-08-26 14:00:00, delta t in [0.15479473, 0.15880616], steps=5744 (22s)
Time = 2017-08-26 14:15:00, delta t in [0.15198731, 0.15479439], steps=5871 (23s)
Time = 2017-08-26 14:30:00, delta t in [0.14967663, 0.15198718], steps=5968 (23s)
Time = 2017-08-26 14:45:00, delta t in [0.14766320, 0.14967634], steps=6056 (24s)
Time = 2017-08-26 15:00:00, delta t in [0.14613454, 0.14766317], steps=6129 (24s)
Time = 2017-08-26 15:15:00, delta t in [0.14494229, 0.14613447], steps=6184 (24s)
Time = 2017-08-26 15:30:00, delta t in [0.14396217, 0.14494221], steps=6232 (24s)
Time = 2017-08-26 15:45:00, delta t in [0.14331966, 0.14396205], steps=6267 (25s)

===================================================================================
=   BAD TERMINATION OF ONE OF YOUR APPLICATION PROCESSES
=   PID 86483 RUNNING AT server2017
=   EXIT CODE: 15
=   CLEANING UP REMAINING PROCESSES
=   YOU CAN IGNORE THE BELOW CLEANUP MESSAGES
===================================================================================
YOUR APPLICATION TERMINATED WITH THE EXIT STRING: Terminated (signal 15)
This typically refers to a problem with your application.
Please see the FAQ page for debugging suggestions
