Time,Discharge(m^3 s^-1),Observed(m^3 s^-1),Precip(mm h^-1),PET(mm h^-1),SM(%),Fast Flow(mm*1000),Slow Flow(mm*1000)
2017-08-25 00:02,0.52,nan,98.11,0.03,84.21,10.6394,7.5748
2017-08-25 00:04,0.45,nan,98.11,0.03,84.87,10.9781,7.7725
2017-08-25 00:06,0.81,nan,98.11,0.03,85.64,11.3627,8.3219
2017-08-25 00:08,1.08,nan,98.11,0.03,86.56,11.7491,8.5777
2017-08-25 00:10,1.71,nan,98.11,0.03,87.26,11.9467,8.8545
2017-08-25 00:12,1.82,nan,98.11,0.03,88.97,12.3015,9.0347
2017-08-25 00:14,1.18,nan,98.11,0.03,90.21,12.7052,9.2158
2017-08-25 00:16,1.76,nan,98.11,0.03,90.96,13.1981,9.4624
2017-08-25 00:18,2.94,nan,98.11,0.03,91.56,13.5734,9.6087
2017-08-25 00:20,3.37,nan,98.11,0.03,92.03,13.7908,9.7161
2017-08-25 00:22,3.19,nan,98.11,0.03,92.45,14.0933,9.8233
2017-08-25 00:24,2.53,nan,98.11,0.03,92.75,14.2910,9.9252
2017-08-25 00:26,2.52,nan,98.11,0.03,93.07,14.3621,10.0089
2017-08-25 00:28,3.42,nan,98.11,0.03,93.55,14.4157,10.1662
2017-08-25 00:30,3.94,nan,98.11,0.03,93.85,14.4717,10.2415
2017-08-25 00:32,3.92,nan,98.11,0.03,94.10,14.5600,10.3067
2017-08-25 00:34,3.44,nan,98.11,0.03,94.33,14.6608,10.3652
2017-08-25 00:36,2.52,nan,98.11,0.03,94.53,14.7141,10.4150
2017-08-25 00:38,3.19,nan,98.11,0.03,94.74,14.7771,10.4920
2017-08-25 00:40,3.17,nan,98.11,0.03,94.92,14.8378,10.5390
2017-08-25 00:42,4.15,nan,98.11,0.03,95.06,14.8824,10.5758
2017-08-25 00:44,4.32,nan,98.11,0.03,95.21,14.9184,10.6138
2017-08-25 00:46,4.33,nan,98.11,0.03,95.30,14.9560,10.6504
2017-08-25 00:48,4.90,nan,98.11,0.03,95.43,14.9873,10.6790
