evolving elements: 116
evolving elements: 144
evolving elements: 129
evolving elements: 151
evolving elements: 157
evolving elements: 143
evolving elements: 156
evolving elements: 190
evolving elements: 136
evolving elements: 178
evolving elements: 147
Time = 2017-04-01 00:00:00, steps=0 (0s)
evolving elements: 143
evolving elements: 139
evolving elements: 132
evolving elements: 155
evolving elements: 185
evolving elements: 151
evolving elements: 126
evolving elements: 167
evolving elements: 192
evolving elements: 197
evolving elements: 156
evolving elements: 147
evolving elements: 227
Time = 2017-04-01 00:02:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 00:04:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 00:06:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 00:08:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 00:10:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 00:12:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 00:14:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 00:16:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 00:18:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 00:20:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 00:22:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 00:24:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 00:26:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 00:28:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 00:30:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 00:32:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 00:34:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 00:36:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 00:38:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 00:40:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 00:42:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 00:44:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 00:46:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 00:48:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 00:50:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 00:52:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 00:54:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 00:56:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 00:58:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 01:00:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 01:02:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 01:04:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 01:06:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 01:08:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 01:10:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 01:12:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 01:14:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 01:16:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 01:18:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 01:20:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 01:22:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 01:24:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 01:26:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 01:28:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 01:30:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 01:32:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 01:34:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 01:36:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 01:38:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 01:40:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 01:42:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 01:44:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 01:46:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 01:48:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 01:50:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 01:52:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 01:54:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 01:56:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 01:58:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 02:00:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 02:02:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 02:04:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 02:06:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 02:08:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 02:10:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 02:12:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 02:14:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 02:16:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 02:18:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 02:20:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 02:22:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 02:24:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 02:26:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 02:28:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 02:30:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 02:32:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 02:34:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 02:36:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 02:38:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 02:40:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 02:42:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 02:44:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 02:46:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 02:48:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 02:50:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 02:52:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 02:54:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 02:56:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 02:58:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 03:00:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 03:02:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 03:04:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 03:06:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 03:08:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 03:10:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 03:12:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 03:14:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 03:16:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 03:18:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 03:20:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 03:22:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 03:24:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 03:26:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 03:28:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 03:30:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 03:32:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 03:34:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 03:36:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 03:38:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 03:40:00, delta t = 1000.00000000, steps=1 (0s)
