[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
Time = 2017-08-25 12:00:00, steps=0 (0s)
[]
Time = 2017-08-25 12:02:00, delta t in [0.18611100, 0.43019370], steps=552 (3s)
Time = 2017-08-25 12:04:00, delta t in [0.22951940, 0.26338268], steps=475 (2s)
Time = 2017-08-25 12:06:00, delta t in [0.22171646, 0.26273130], steps=496 (2s)
Time = 2017-08-25 12:08:00, delta t in [0.21044890, 0.22169063], steps=558 (3s)
Time = 2017-08-25 12:10:00, delta t in [0.20672204, 0.21043636], steps=577 (3s)
Time = 2017-08-25 12:12:00, delta t in [0.20563827, 0.20672037], steps=583 (3s)
Time = 2017-08-25 12:14:00, delta t in [0.20555272, 0.20563812], steps=584 (3s)
Time = 2017-08-25 12:16:00, delta t in [0.20555469, 0.20559927], steps=584 (3s)
Time = 2017-08-25 12:18:00, delta t in [0.20559935, 0.20564375], steps=584 (3s)
Time = 2017-08-25 12:20:00, delta t in [0.20564377, 0.20564958], steps=584 (3s)
Time = 2017-08-25 12:22:00, delta t in [0.20561561, 0.20564588], steps=584 (3s)
Time = 2017-08-25 12:24:00, delta t in [0.20551687, 0.20561554], steps=584 (3s)
Time = 2017-08-25 12:26:00, delta t in [0.20536346, 0.20551669], steps=585 (3s)
Time = 2017-08-25 12:28:00, delta t in [0.20531881, 0.20536343], steps=585 (3s)
Time = 2017-08-25 12:30:00, delta t in [0.20530506, 0.20531879], steps=585 (3s)
Time = 2017-08-25 12:32:00, delta t in [0.20530145, 0.20530693], steps=585 (3s)
Time = 2017-08-25 12:34:00, delta t in [0.20530390, 0.20537901], steps=585 (3s)
Time = 2017-08-25 12:36:00, delta t in [0.20537909, 0.20552494], steps=585 (3s)
Time = 2017-08-25 12:38:00, delta t in [0.20552496, 0.20565335], steps=584 (3s)
Time = 2017-08-25 12:40:00, delta t in [0.20565351, 0.20579281], steps=584 (3s)
Time = 2017-08-25 12:42:00, delta t in [0.20579289, 0.20594685], steps=583 (3s)
Time = 2017-08-25 12:44:00, delta t in [0.20594708, 0.20613983], steps=583 (3s)
Time = 2017-08-25 12:46:00, delta t in [0.20614003, 0.20641574], steps=582 (3s)
