,lon,lat,HWM
0,220846.17606041674,3297044.658412984,0.0
1,220846.17606041674,3297044.658412984,0.0
2,219711.47701202857,3298533.1939960015,0.0
3,219711.47701202857,3298533.1939960015,0.0
4,224998.1906286428,3298291.61275761,4.12
5,224998.1906286428,3298291.61275761,0.0
6,226817.7567448041,3297747.621290353,0.0
7,233005.07602667587,3299222.8448766894,0.0
8,233005.07602667587,3299222.8448766894,0.0
9,225968.60308036912,3297298.081879697,0.0
10,225968.60308036912,3297298.081879697,5.12
11,227128.12382397288,3296114.755707536,1.55
12,227128.12382397288,3296114.755707536,0.0
13,227128.12382397288,3296114.755707536,3.4
14,226751.9520609515,3294429.922533359,0.0
15,226751.9520609515,3294429.922533359,0.0
16,230772.87285072287,3293814.1059108274,1.23
17,230772.87285072287,3293814.1059108274,1.44
18,234133.68091383582,3292745.1296201777,0.0
19,234133.68091383582,3292745.1296201777,0.0
20,229283.95581920265,3290019.493106542,0.0
21,229283.95581920265,3290019.493106542,0.0
22,234539.96556791232,3290572.3025105554,2.73
23,234539.96556791232,3290572.3025105554,1.33
24,239951.16156021715,3289840.4997620964,0.0
25,240118.23102126902,3297054.5838797786,1.6
26,240118.23102126902,3297054.5838797786,1.52
27,238627.190687965,3295329.0197291826,2.72
28,237571.80328675226,3294859.0597195006,0.0
29,239686.27936978286,3299648.1651369,5.74
30,241573.60009072075,3300555.95071125,5.96
31,234602.39194355241,3302340.704490297,1.95
32,234602.39194355241,3302340.704490297,0.0
33,232045.31295248668,3305491.562652138,2.65
34,232045.31295248668,3305491.562652138,2.64
35,232504.6424142386,3308180.674152755,0.58
36,232504.6424142386,3308180.674152755,0.91
37,236216.49900054582,3306566.5349618974,1.29
38,236216.49900054582,3306566.5349618974,1.47
39,237153.85219233,3309360.866636934,0.0
40,238884.07288071804,3310999.5013686228,0.0
41,241084.66132427534,3312194.740795077,5.85
42,241084.66132427534,3312194.740795077,0.0
43,244490.69550097905,3310248.834807211,0.0
44,240837.6782462745,3307578.1255121124,0.0
45,240837.6782462745,3307578.1255121124,0.0
46,239868.99635337258,3304647.8565678154,0.0
47,240856.2716016495,3307339.1963909953,0.0
48,246423.78702694335,3308180.128451473,0.0
49,246423.78702694335,3308180.128451473,0.0
50,246552.19176077758,3305885.5347410673,2.69
51,246552.19176077758,3305885.5347410673,0.0
52,245226.55642809457,3304491.597413728,2.18
53,244295.15195240208,3303012.1811294444,5.0
54,245843.3856352025,3303513.557939084,8.4
55,277649.9970180581,3290746.5201607402,2.24
56,277649.9970180581,3290746.5201607402,1.96
57,276597.6889802706,3289787.3260302674,3.47
58,251820.44920377395,3290660.57490867,5.21
59,251820.44920377395,3290660.57490867,8.5
60,251818.04102918462,3290765.709314475,0.0
61,251818.04102918462,3290765.709314475,0.0
62,270032.34144239366,3288817.182743351,0.0
63,270032.34144239366,3288817.182743351,0.0
64,270029.8944630312,3288698.2384699737,0.0
65,270029.8944630312,3288698.2384699737,0.0
66,262609.3616695837,3288966.261452684,0.4
67,271850.74013547157,3289115.497059259,1.35
68,268997.41960327316,3321863.2230467717,0.0
69,270578.32322892325,3289480.3380814428,1.24
70,270578.32322892325,3289480.3380814428,0.85
71,239415.57739665115,3288801.94989226,1.52
72,239415.57739665115,3288801.94989226,1.76
73,239302.3994674301,3288965.2096739947,1.66
74,239302.3994674301,3288965.2096739947,1.62
75,266299.87970698584,3287979.097241651,2.24
76,266299.87970698584,3287979.097241651,1.82
77,263623.61211028206,3287133.8117893133,2.18
78,263623.61211028206,3287133.8117893133,2.03
79,264179.0440581012,3286821.5390850757,3.68
80,264179.0440581012,3286821.5390850757,2.14
81,264234.06496330677,3286689.180480086,2.78
82,264234.06496330677,3286689.180480086,2.25
83,262845.0631204406,3286160.245530599,5.8
84,262845.0631204406,3286160.245530599,3.77
85,262889.38491677016,3285962.2288467186,4.57
86,262889.38491677016,3285962.2288467186,2.75
87,258618.8844694957,3282866.37049453,1.98
88,258618.8844694957,3282866.37049453,2.16
89,258509.75276362663,3282904.434688287,1.52
90,258509.75276362663,3282904.434688287,1.84
91,288412.4677983633,3295078.545920627,4.75
92,287976.4237888507,3295550.3300479236,5.7
93,288702.1107072758,3296221.8255553055,0.0
94,286380.1217777461,3296554.387676301,3.2
95,286095.0182448949,3297474.6772909337,3.62
96,287530.26550209406,3298989.6489641536,1.67
97,287530.26550209406,3298989.6489641536,0.0
98,286107.5939221005,3300395.22053007,1.2
99,284143.97800257546,3299415.162902502,3.98
100,284733.7050269883,3301455.1945726974,7.46
101,284733.7050269883,3301455.1945726974,3.98
102,284938.12806266453,3304175.7927328115,3.79
