# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-06-15 17:25:32 EDT       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 08068325 Willow Ck nr Tomball, TX
# -----------------------------------------------------------------------------------
#
# Data provided for site 08068325
#            TS   parameter     Description
#        140290       00060     Discharge, cubic feet per second
#        140291       00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	tz_cd	140290_00060	140290_00060_cd	140291_00065	140291_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	08068325	2017-04-01 00:00	CDT	9.74	A	112.74	A
USGS	08068325	2017-04-01 00:15	CDT	9.54	A	112.73	A
USGS	08068325	2017-04-01 00:30	CDT	9.54	A	112.73	A
USGS	08068325	2017-04-01 00:45	CDT	9.54	A	112.73	A
USGS	08068325	2017-04-01 01:00	CDT	9.54	A	112.73	A
USGS	08068325	2017-04-01 01:15	CDT	9.34	A	112.72	A
USGS	08068325	2017-04-01 01:30	CDT	9.34	A	112.72	A
USGS	08068325	2017-04-01 01:45	CDT	9.34	A	112.72	A
USGS	08068325	2017-04-01 02:00	CDT	9.15	A	112.71	A
USGS	08068325	2017-04-01 02:15	CDT	9.35	A	112.72	A
USGS	08068325	2017-04-01 02:30	CDT	9.15	A	112.71	A
USGS	08068325	2017-04-01 02:45	CDT	9.15	A	112.71	A
USGS	08068325	2017-04-01 03:00	CDT	9.15	A	112.71	A
USGS	08068325	2017-04-01 03:15	CDT	9.15	A	112.71	A
USGS	08068325	2017-04-01 03:30	CDT	9.35	A	112.72	A
USGS	08068325	2017-04-01 03:45	CDT	9.35	A	112.72	A
USGS	08068325	2017-04-01 04:00	CDT	9.35	A	112.72	A
USGS	08068325	2017-04-01 04:15	CDT	9.35	A	112.72	A
USGS	08068325	2017-04-01 04:30	CDT	9.35	A	112.72	A
USGS	08068325	2017-04-01 04:45	CDT	9.56	A	112.73	A
USGS	08068325	2017-04-01 05:00	CDT	9.56	A	112.73	A
USGS	08068325	2017-04-01 05:15	CDT	9.56	A	112.73	A
USGS	08068325	2017-04-01 05:30	CDT	9.56	A	112.73	A
USGS	08068325	2017-04-01 05:45	CDT	9.56	A	112.73	A
USGS	08068325	2017-04-01 06:00	CDT	9.56	A	112.73	A
USGS	08068325	2017-04-01 06:15	CDT	9.56	A	112.73	A
USGS	08068325	2017-04-01 06:30	CDT	9.56	A	112.73	A
USGS	08068325	2017-04-01 06:45	CDT	9.56	A	112.73	A
USGS	08068325	2017-04-01 07:00	CDT	9.57	A	112.73	A
USGS	08068325	2017-04-01 07:15	CDT	9.57	A	112.73	A
USGS	08068325	2017-04-01 07:30	CDT	9.57	A	112.73	A
