# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-06-10 12:30:32 EDT       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 08068800 Cypress Ck at Grant Rd nr Cypress, TX
# -----------------------------------------------------------------------------------
#
# Data provided for site 08068800
#            TS   parameter     Description
#        140324       00060     Discharge, cubic feet per second
#        140325       00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     R  Records for these data have been revised. [https://nwis.waterdata.usgs.gov/usa/nwis/revision/?site_no=08068800&ts_ids=140324]
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	tz_cd	140324_00060	140324_00060_cd	140325_00065	140325_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	08068800	2017-04-01 00:00	CDT	38.3	A	102.61	A
USGS	08068800	2017-04-01 00:15	CDT	38.3	A	102.61	A
USGS	08068800	2017-04-01 00:30	CDT	39.0	A	102.62	A
USGS	08068800	2017-04-01 00:45	CDT	38.3	A	102.61	A
USGS	08068800	2017-04-01 01:00	CDT	38.3	A	102.61	A
USGS	08068800	2017-04-01 01:15	CDT	38.3	A	102.61	A
USGS	08068800	2017-04-01 01:30	CDT	38.3	A	102.61	A
USGS	08068800	2017-04-01 01:45	CDT	37.0	A	102.59	A
USGS	08068800	2017-04-01 02:00	CDT	37.7	A	102.60	A
USGS	08068800	2017-04-01 02:15	CDT	37.0	A	102.59	A
USGS	08068800	2017-04-01 02:30	CDT	37.7	A	102.60	A
USGS	08068800	2017-04-01 02:45	CDT	37.0	A	102.59	A
USGS	08068800	2017-04-01 03:00	CDT	36.3	A	102.58	A
USGS	08068800	2017-04-01 03:15	CDT	37.0	A	102.59	A
USGS	08068800	2017-04-01 03:30	CDT	37.0	A	102.59	A
USGS	08068800	2017-04-01 03:45	CDT	36.3	A	102.58	A
USGS	08068800	2017-04-01 04:00	CDT	35.6	A	102.57	A
USGS	08068800	2017-04-01 04:15	CDT	36.3	A	102.58	A
USGS	08068800	2017-04-01 04:30	CDT	35.6	A	102.57	A
USGS	08068800	2017-04-01 04:45	CDT	35.6	A	102.57	A
USGS	08068800	2017-04-01 05:00	CDT	34.9	A	102.56	A
USGS	08068800	2017-04-01 05:15	CDT	34.9	A	102.56	A
USGS	08068800	2017-04-01 05:30	CDT	34.2	A	102.55	A
USGS	08068800	2017-04-01 05:45	CDT	34.2	A	102.55	A
USGS	08068800	2017-04-01 06:00	CDT	33.5	A	102.54	A
USGS	08068800	2017-04-01 06:15	CDT	34.2	A	102.55	A
USGS	08068800	2017-04-01 06:30	CDT	33.5	A	102.54	A
USGS	08068800	2017-04-01 06:45	CDT	33.5	A	102.54	A
