# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-06-10 12:28:37 EDT       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 08069000 Cypress Ck nr Westfield, TX
# -----------------------------------------------------------------------------------
#
# Data provided for site 08069000
#            TS   parameter     Description
#        140330       00060     Discharge, cubic feet per second
#        140331       00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	tz_cd	140330_00060	140330_00060_cd	140331_00065	140331_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	08069000	2017-04-01 00:00	CDT	140	A	64.56	A
USGS	08069000	2017-04-01 00:15	CDT	144	A	64.58	A
USGS	08069000	2017-04-01 00:30	CDT	144	A	64.58	A
USGS	08069000	2017-04-01 00:45	CDT	142	A	64.57	A
USGS	08069000	2017-04-01 01:00	CDT	142	A	64.57	A
USGS	08069000	2017-04-01 01:15	CDT	140	A	64.56	A
USGS	08069000	2017-04-01 01:30	CDT	140	A	64.56	A
USGS	08069000	2017-04-01 01:45	CDT	138	A	64.55	A
USGS	08069000	2017-04-01 02:00	CDT	138	A	64.55	A
USGS	08069000	2017-04-01 02:15	CDT	138	A	64.55	A
USGS	08069000	2017-04-01 02:30	CDT	135	A	64.53	A
USGS	08069000	2017-04-01 02:45	CDT	137	A	64.54	A
USGS	08069000	2017-04-01 03:00	CDT	135	A	64.53	A
USGS	08069000	2017-04-01 03:15	CDT	131	A	64.51	A
USGS	08069000	2017-04-01 03:30	CDT	135	A	64.53	A
USGS	08069000	2017-04-01 03:45	CDT	137	A	64.54	A
USGS	08069000	2017-04-01 04:00	CDT	133	A	64.52	A
USGS	08069000	2017-04-01 04:15	CDT	129	A	64.50	A
USGS	08069000	2017-04-01 04:30	CDT	127	A	64.49	A
USGS	08069000	2017-04-01 04:45	CDT	137	A	64.54	A
USGS	08069000	2017-04-01 05:00	CDT	129	A	64.50	A
USGS	08069000	2017-04-01 05:15	CDT	133	A	64.52	A
USGS	08069000	2017-04-01 05:30	CDT	125	A	64.48	A
USGS	08069000	2017-04-01 05:45	CDT	122	A	64.46	A
USGS	08069000	2017-04-01 06:00	CDT	120	A	64.45	A
USGS	08069000	2017-04-01 06:15	CDT	122	A	64.46	A
USGS	08069000	2017-04-01 06:30	CDT	129	A	64.50	A
USGS	08069000	2017-04-01 06:45	CDT	118	A	64.44	A
USGS	08069000	2017-04-01 07:00	CDT	126	A	64.48	A
USGS	08069000	2017-04-01 07:15	CDT	122	A	64.46	A
USGS	08069000	2017-04-01 07:30	CDT	119	A	64.44	A
USGS	08069000	2017-04-01 07:45	CDT	117	A	64.43	A
USGS	08069000	2017-04-01 08:00	CDT	120	A	64.45	A
USGS	08069000	2017-04-01 08:15	CDT	115	A	64.42	A
USGS	08069000	2017-04-01 08:30	CDT	115	A	64.42	A
USGS	08069000	2017-04-01 08:45	CDT	115	A	64.42	A
USGS	08069000	2017-04-01 09:00	CDT	114	A	64.41	A
USGS	08069000	2017-04-01 09:15	CDT	119	A	64.44	A
USGS	08069000	2017-04-01 09:30	CDT	114	A	64.41	A
USGS	08069000	2017-04-01 09:45	CDT	114	A	64.41	A
USGS	08069000	2017-04-01 10:00	CDT	117	A	64.43	A
USGS	08069000	2017-04-01 10:15	CDT	117	A	64.43	A
USGS	08069000	2017-04-01 10:30	CDT	117	A	64.43	A
USGS	08069000	2017-04-01 10:45	CDT	115	A	64.42	A
USGS	08069000	2017-04-01 11:00	CDT	114	A	64.41	A
USGS	08069000	2017-04-01 11:15	CDT	114	A	64.41	A
USGS	08069000	2017-04-01 11:30	CDT	119	A	64.44	A
USGS	08069000	2017-04-01 11:45	CDT	112	A	64.40	A
USGS	08069000	2017-04-01 12:00	CDT	112	A	64.40	A
USGS	08069000	2017-04-01 12:15	CDT	114	A	64.42	A
USGS	08069000	2017-04-01 12:30	CDT	117	A	64.44	A
USGS	08069000	2017-04-01 12:45	CDT	112	A	64.41	A
USGS	08069000	2017-04-01 13:00	CDT	112	A	64.41	A
USGS	08069000	2017-04-01 13:15	CDT	111	A	64.40	A
USGS	08069000	2017-04-01 13:30	CDT	116	A	64.43	A
USGS	08069000	2017-04-01 13:45	CDT	114	A	64.42	A
USGS	08069000	2017-04-01 14:00	CDT	109	A	64.39	A
USGS	08069000	2017-04-01 14:15	CDT	114	A	64.42	A
USGS	08069000	2017-04-01 14:30	CDT	116	A	64.43	A
USGS	08069000	2017-04-01 14:45	CDT	113	A	64.41	A
USGS	08069000	2017-04-01 15:00	CDT	116	A	64.43	A
USGS	08069000	2017-04-01 15:15	CDT	108	A	64.38	A
USGS	08069000	2017-04-01 15:30	CDT	111	A	64.40	A
USGS	08069000	2017-04-01 15:45	CDT	113	A	64.41	A
USGS	08069000	2017-04-01 16:00	CDT	109	A	64.39	A
USGS	08069000	2017-04-01 16:15	CDT	111	A	64.40	A
USGS	08069000	2017-04-01 16:30	CDT	113	A	64.41	A
USGS	08069000	2017-04-01 16:45	CDT	106	A	64.37	A
USGS	08069000	2017-04-01 17:00	CDT	109	A	64.39	A
USGS	08069000	2017-04-01 17:15	CDT	109	A	64.39	A
USGS	08069000	2017-04-01 17:30	CDT	113	A	64.41	A
USGS	08069000	2017-04-01 17:45	CDT	113	A	64.41	A
USGS	08069000	2017-04-01 18:00	CDT	115	A	64.42	A
USGS	08069000	2017-04-01 18:15	CDT	111	A	64.40	A
USGS	08069000	2017-04-01 18:30	CDT	110	A	64.39	A
USGS	08069000	2017-04-01 18:45	CDT	108	A	64.38	A
USGS	08069000	2017-04-01 19:00	CDT	111	A	64.40	A
USGS	08069000	2017-04-01 19:15	CDT	111	A	64.40	A
USGS	08069000	2017-04-01 19:30	CDT	108	A	64.38	A
USGS	08069000	2017-04-01 19:45	CDT	113	A	64.41	A
USGS	08069000	2017-04-01 20:00	CDT	110	A	64.39	A
USGS	08069000	2017-04-01 20:15	CDT	113	A	64.41	A
USGS	08069000	2017-04-01 20:30	CDT	118	A	64.44	A
USGS	08069000	2017-04-01 20:45	CDT	110	A	64.39	A
USGS	08069000	2017-04-01 21:00	CDT	108	A	64.38	A
USGS	08069000	2017-04-01 21:15	CDT	115	A	64.42	A
USGS	08069000	2017-04-01 21:30	CDT	113	A	64.41	A
USGS	08069000	2017-04-01 21:45	CDT	111	A	64.40	A
USGS	08069000	2017-04-01 22:00	CDT	110	A	64.39	A
USGS	08069000	2017-04-01 22:15	CDT	113	A	64.41	A
USGS	08069000	2017-04-01 22:30	CDT	115	A	64.42	A
USGS	08069000	2017-04-01 22:45	CDT	113	A	64.41	A
USGS	08069000	2017-04-01 23:00	CDT	115	A	64.42	A
USGS	08069000	2017-04-01 23:15	CDT	113	A	64.41	A
USGS	08069000	2017-04-01 23:30	CDT	111	A	64.40	A
USGS	08069000	2017-04-01 23:45	CDT	113	A	64.41	A
USGS	08069000	2017-04-02 00:00	CDT	115	A	64.42	A
USGS	08069000	2017-04-02 00:15	CDT	115	A	64.42	A
USGS	08069000	2017-04-02 00:30	CDT	113	A	64.41	A
USGS	08069000	2017-04-02 00:45	CDT	113	A	64.41	A
USGS	08069000	2017-04-02 01:00	CDT	110	A	64.39	A
USGS	08069000	2017-04-02 01:15	CDT	113	A	64.41	A
USGS	08069000	2017-04-02 01:30	CDT	108	A	64.38	A
USGS	08069000	2017-04-02 01:45	CDT	108	A	64.38	A
USGS	08069000	2017-04-02 02:00	CDT	115	A	64.42	A
USGS	08069000	2017-04-02 02:15	CDT	110	A	64.39	A
USGS	08069000	2017-04-02 02:30	CDT	111	A	64.40	A
USGS	08069000	2017-04-02 02:45	CDT	113	A	64.41	A
USGS	08069000	2017-04-02 03:00	CDT	113	A	64.41	A
USGS	08069000	2017-04-02 03:15	CDT	113	A	64.41	A
USGS	08069000	2017-04-02 03:30	CDT	111	A	64.40	A
USGS	08069000	2017-04-02 03:45	CDT	113	A	64.41	A
USGS	08069000	2017-04-02 04:00	CDT	113	A	64.41	A
USGS	08069000	2017-04-02 04:15	CDT	115	A	64.42	A
USGS	08069000	2017-04-02 04:30	CDT	108	A	64.38	A
USGS	08069000	2017-04-02 04:45	CDT	113	A	64.41	A
USGS	08069000	2017-04-02 05:00	CDT	111	A	64.40	A
USGS	08069000	2017-04-02 05:15	CDT	110	A	64.39	A
USGS	08069000	2017-04-02 05:30	CDT	115	A	64.42	A
USGS	08069000	2017-04-02 05:45	CDT	111	A	64.40	A
USGS	08069000	2017-04-02 06:00	CDT	116	A	64.43	A
USGS	08069000	2017-04-02 06:15	CDT	116	A	64.43	A
USGS	08069000	2017-04-02 06:30	CDT	115	A	64.42	A
USGS	08069000	2017-04-02 06:45	CDT	116	A	64.43	A
USGS	08069000	2017-04-02 07:00	CDT	113	A	64.41	A
USGS	08069000	2017-04-02 07:15	CDT	113	A	64.41	A
USGS	08069000	2017-04-02 07:30	CDT	116	A	64.43	A
USGS	08069000	2017-04-02 07:45	CDT	115	A	64.42	A
USGS	08069000	2017-04-02 08:00	CDT	113	A	64.41	A
USGS	08069000	2017-04-02 08:15	CDT	115	A	64.42	A
USGS	08069000	2017-04-02 08:30	CDT	116	A	64.43	A
USGS	08069000	2017-04-02 08:45	CDT	118	A	64.44	A
USGS	08069000	2017-04-02 09:00	CDT	118	A	64.44	A
USGS	08069000	2017-04-02 09:15	CDT	124	A	64.47	A
USGS	08069000	2017-04-02 09:30	CDT	124	A	64.47	A
USGS	08069000	2017-04-02 09:45	CDT	125	A	64.48	A
USGS	08069000	2017-04-02 10:00	CDT	125	A	64.48	A
USGS	08069000	2017-04-02 10:15	CDT	131	A	64.51	A
USGS	08069000	2017-04-02 10:30	CDT	127	A	64.49	A
USGS	08069000	2017-04-02 10:45	CDT	125	A	64.48	A
USGS	08069000	2017-04-02 11:00	CDT	125	A	64.48	A
USGS	08069000	2017-04-02 11:15	CDT	124	A	64.47	A
USGS	08069000	2017-04-02 11:30	CDT	131	A	64.51	A
USGS	08069000	2017-04-02 11:45	CDT	131	A	64.51	A
USGS	08069000	2017-04-02 12:00	CDT	133	A	64.52	A
USGS	08069000	2017-04-02 12:15	CDT	129	A	64.50	A
USGS	08069000	2017-04-02 12:30	CDT	135	A	64.53	A
USGS	08069000	2017-04-02 12:45	CDT	135	A	64.53	A
USGS	08069000	2017-04-02 13:00	CDT	137	A	64.54	A
USGS	08069000	2017-04-02 13:15	CDT	141	A	64.56	A
USGS	08069000	2017-04-02 13:30	CDT	143	A	64.57	A
USGS	08069000	2017-04-02 13:45	CDT	146	A	64.59	A
USGS	08069000	2017-04-02 14:00	CDT	181	A	64.77	A
USGS	08069000	2017-04-02 14:15	CDT	226	A	64.98	A
USGS	08069000	2017-04-02 14:30	CDT	282	A	65.22	A
USGS	08069000	2017-04-02 14:45	CDT	359	A	65.52	A
USGS	08069000	2017-04-02 15:00	CDT	437	A	65.82	A
USGS	08069000	2017-04-02 15:15	CDT	500	A	66.04	A
USGS	08069000	2017-04-02 15:30	CDT	549	A	66.19	A
USGS	08069000	2017-04-02 15:45	CDT	563	A	66.23	A
USGS	08069000	2017-04-02 16:00	CDT	573	A	66.26	A
USGS	08069000	2017-04-02 16:15	CDT	597	A	66.33	A
USGS	08069000	2017-04-02 16:30	CDT	608	A	66.36	A
USGS	08069000	2017-04-02 16:45	CDT	619	A	66.39	A
USGS	08069000	2017-04-02 17:00	CDT	615	A	66.38	A
USGS	08069000	2017-04-02 17:15	CDT	615	A	66.38	A
USGS	08069000	2017-04-02 17:30	CDT	608	A	66.36	A
USGS	08069000	2017-04-02 17:45	CDT	601	A	66.34	A
USGS	08069000	2017-04-02 18:00	CDT	587	A	66.30	A
USGS	08069000	2017-04-02 18:15	CDT	583	A	66.29	A
USGS	08069000	2017-04-02 18:30	CDT	559	A	66.22	A
USGS	08069000	2017-04-02 18:45	CDT	566	A	66.24	A
USGS	08069000	2017-04-02 19:00	CDT	556	A	66.21	A
USGS	08069000	2017-04-02 19:15	CDT	529	A	66.13	A
USGS	08069000	2017-04-02 19:30	CDT	523	A	66.11	A
USGS	08069000	2017-04-02 19:45	CDT	500	A	66.04	A
USGS	08069000	2017-04-02 20:00	CDT	491	A	66.01	A
USGS	08069000	2017-04-02 20:15	CDT	473	A	65.95	A
USGS	08069000	2017-04-02 20:30	CDT	462	A	65.91	A
USGS	08069000	2017-04-02 20:45	CDT	456	A	65.89	A
USGS	08069000	2017-04-02 21:00	CDT	426	A	65.78	A
USGS	08069000	2017-04-02 21:15	CDT	420	A	65.76	A
USGS	08069000	2017-04-02 21:30	CDT	399	A	65.68	A
USGS	08069000	2017-04-02 21:45	CDT	394	A	65.66	A
USGS	08069000	2017-04-02 22:00	CDT	374	A	65.58	A
USGS	08069000	2017-04-02 22:15	CDT	359	A	65.52	A
USGS	08069000	2017-04-02 22:30	CDT	364	A	65.54	A
USGS	08069000	2017-04-02 22:45	CDT	347	A	65.47	A
USGS	08069000	2017-04-02 23:00	CDT	340	A	65.44	A
USGS	08069000	2017-04-02 23:15	CDT	326	A	65.39	A
USGS	08069000	2017-04-02 23:30	CDT	315	A	65.35	A
USGS	08069000	2017-04-02 23:45	CDT	300	A	65.29	A
