# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-06-10 12:25:08 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 08069000 Cypress Ck nr Westfield, TX
# -----------------------------------------------------------------------------------
#
# Data provided for site 08069000
#            TS   parameter     statistic     Description
#        134260       00060     00003     Discharge, cubic feet per second (Mean)
#        134261       00065     00003     Gage height, feet (Mean)
#        173637       00060     00001     Discharge, cubic feet per second (Maximum)
#        173638       00060     00002     Discharge, cubic feet per second (Minimum)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	134260_00060_00003	134260_00060_00003_cd	134261_00065_00003	134261_00065_00003_cd	173637_00060_00001	173637_00060_00001_cd	173638_00060_00002	173638_00060_00002_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s
USGS	08069000	2017-04-01	118	A	64.44	A	142	A	106	A
USGS	08069000	2017-04-02	272	A	65.08	A	619	A	108	A
USGS	08069000	2017-04-03	157	A	64.64	A	289	A	116	A
USGS	08069000	2017-04-04	236	A	65.02	A	269	A	135	A
USGS	08069000	2017-04-05	164	A	64.68	A	244	A	115	A
USGS	08069000	2017-04-06	94.5	A	64.29	A	118	A	78.1	A
USGS	08069000	2017-04-07	71.1	A	64.14	A	82.6	A	63.1	A
USGS	08069000	2017-04-08	61.2	A	64.07	A	69.7	A	54.0	A
USGS	08069000	2017-04-09	55.3	A	64.02	A	61.8	A	49.0	A
USGS	08069000	2017-04-10	58.9	A	64.05	A	71.0	A	50.2	A
USGS	08069000	2017-04-11	556	A	65.93	A	1370	A	68.3	A
USGS	08069000	2017-04-12	705	A	66.60	A	1320	A	284	A
USGS	08069000	2017-04-13	196	A	64.83	A	287	A	141	A
USGS	08069000	2017-04-14	116	A	64.42	A	146	A	97.0	A
USGS	08069000	2017-04-15	83.2	A	64.22	A	102	A	73.8	A
USGS	08069000	2017-04-16	68.7	A	64.12	A	105	A	61.8	A
USGS	08069000	2017-04-17	123	A	64.46	A	214	A	79.6	A
USGS	08069000	2017-04-18	402	A	65.64	A	553	A	118	A
USGS	08069000	2017-04-19	322	A	65.37	A	482	A	203	A
USGS	08069000	2017-04-20	182	A	64.77	A	211	A	144	A
USGS	08069000	2017-04-21	123	A	64.46	A	152	A	103	A
USGS	08069000	2017-04-22	86.1	A	64.24	A	108	A	72.4	A
USGS	08069000	2017-04-23	65.1	A	64.10	A	76.6	A	57.8	A
USGS	08069000	2017-04-24	56.6	A	64.03	A	64.5	A	51.5	A
USGS	08069000	2017-04-25	51.5	A	63.99	A	56.5	A	45.5	A
USGS	08069000	2017-04-26	49.7	A	63.98	A	55.2	A	45.5	A
USGS	08069000	2017-04-27	44.2	A	63.93	A	50.2	A	40.0	A
USGS	08069000	2017-04-28	42.8	A	63.92	A	50.2	A	39.0	A
USGS	08069000	2017-04-29	43.6	A	63.92	A	50.2	A	37.9	A
USGS	08069000	2017-04-30	50.1	A	63.98	A	55.2	A	45.5	A
USGS	08069000	2017-05-01	43.4	A	63.92	A	51.5	A	39.0	A
USGS	08069000	2017-05-02	41.8	A	63.91	A	46.7	A	36.9	A
USGS	08069000	2017-05-03	57.2	A	64.02	A	125	A	36.9	A
USGS	08069000	2017-05-04	94.7	A	64.29	A	129	A	68.3	A
USGS	08069000	2017-05-05	57.6	A	64.04	A	73.8	A	45.5	A
USGS	08069000	2017-05-06	43.4	A	63.92	A	54.0	A	39.0	A
USGS	08069000	2017-05-07	40.1	A	63.89	A	45.5	A	35.9	A
USGS	08069000	2017-05-08	42.1	A	63.91	A	46.7	A	37.9	A
USGS	08069000	2017-05-09	43.0	A	63.92	A	47.8	A	37.9	A
USGS	08069000	2017-05-10	42.0	A	63.91	A	46.7	A	37.9	A
USGS	08069000	2017-05-11	41.3	A	63.90	A	46.7	A	35.9	A
USGS	08069000	2017-05-12	75.7	A	64.16	A	116	A	44.4	A
USGS	08069000	2017-05-13	45.7	A	63.94	A	56.5	A	39.0	A
USGS	08069000	2017-05-14	40.5	A	63.89	A	44.4	A	35.0	A
USGS	08069000	2017-05-15	40.4	A	63.89	A	45.5	A	35.0	A
USGS	08069000	2017-05-16	41.6	A	63.90	A	45.5	A	39.0	A
USGS	08069000	2017-05-17	39.4	A	63.88	A	44.4	A	35.9	A
USGS	08069000	2017-05-18	38.9	A	63.88	A	43.3	A	35.0	A
USGS	08069000	2017-05-19	39.4	A	63.88	A	43.3	A	36.9	A
USGS	08069000	2017-05-20	40.0	A	63.89	A	44.4	A	35.9	A
USGS	08069000	2017-05-21	54.2	A	64.00	A	92.2	A	35.0	A
USGS	08069000	2017-05-22	273	A	65.04	A	580	A	65.7	A
USGS	08069000	2017-05-23	181	A	64.74	A	371	A	98.5	A
USGS	08069000	2017-05-24	74.7	A	64.16	A	102	A	60.4	A
USGS	08069000	2017-05-25	53.4	A	64.00	A	67.0	A	45.5	A
USGS	08069000	2017-05-26	42.8	A	63.92	A	49.0	A	37.9	A
USGS	08069000	2017-05-27	40.5	A	63.89	A	44.4	A	35.0	A
USGS	08069000	2017-05-28	47.6	A	63.93	A	260	A	35.9	A
USGS	08069000	2017-05-29	686	A	66.55	A	1060	A	260	A
USGS	08069000	2017-05-30	190	A	64.80	A	324	A	124	A
USGS	08069000	2017-05-31	98.5	A	64.32	A	133	A	78.1	A
USGS	08069000	2017-06-01	340	A	65.41	A	559	A	81.1	A
USGS	08069000	2017-06-02	214	A	64.91	A	337	A	141	A
USGS	08069000	2017-06-03	140	A	64.56	A	179	A	122	A
USGS	08069000	2017-06-04	799	A	66.57	A	2330	A	97.0	A
USGS	08069000	2017-06-05	537	A	66.09	A	1140	A	282	A
USGS	08069000	2017-06-06	214	A	64.92	A	282	A	179	A
USGS	08069000	2017-06-07	153	A	64.62	A	251	A	103	A
USGS	08069000	2017-06-08	86.5	A	64.24	A	111	A	72.4	A
USGS	08069000	2017-06-09	64.1	A	64.09	A	75.2	A	57.8	A
USGS	08069000	2017-06-10	53.0	A	64.00	A	60.4	A	46.7	A
USGS	08069000	2017-06-11	46.9	A	63.95	A	52.7	A	41.1	A
USGS	08069000	2017-06-12	45.9	A	63.94	A	52.7	A	41.1	A
USGS	08069000	2017-06-13	46.3	A	63.95	A	52.7	A	40.0	A
USGS	08069000	2017-06-14	45.6	A	63.94	A	54.0	A	40.0	A
USGS	08069000	2017-06-15	42.7	A	63.91	A	47.8	A	37.9	A
USGS	08069000	2017-06-16	40.8	A	63.90	A	45.5	A	36.9	A
USGS	08069000	2017-06-17	38.7	A	63.88	A	43.3	A	34.0	A
USGS	08069000	2017-06-18	37.9	A	63.87	A	44.4	A	33.1	A
USGS	08069000	2017-06-19	37.8	A	63.87	A	41.1	A	33.1	A
USGS	08069000	2017-06-20	36.5	A	63.86	A	41.1	A	32.2	A
USGS	08069000	2017-06-21	36.4	A	63.85	A	40.0	A	33.1	A
USGS	08069000	2017-06-22	73.1	A	64.15	A	105	A	37.9	A
USGS	08069000	2017-06-23	71.6	A	64.14	A	90.5	A	56.5	A
USGS	08069000	2017-06-24	214	A	64.83	A	546	A	51.5	A
USGS	08069000	2017-06-25	402	A	65.60	A	922	A	163	A
USGS	08069000	2017-06-26	163	A	64.67	A	233	A	115	A
USGS	08069000	2017-06-27	167	A	64.69	A	209	A	113	A
USGS	08069000	2017-06-28	125	A	64.47	A	167	A	95.5	A
USGS	08069000	2017-06-29	77.5	A	64.18	A	102	A	67.0	A
USGS	08069000	2017-06-30	62.6	A	64.08	A	75.2	A	55.2	A
USGS	08069000	2017-07-01	53.7	A	64.01	A	64.5	A	46.7	A
USGS	08069000	2017-07-02	44.0	A	63.93	A	52.7	A	39.0	A
USGS	08069000	2017-07-03	43.5	A	63.92	A	47.8	A	39.0	A
USGS	08069000	2017-07-04	41.4	A	63.90	A	45.5	A	39.0	A
USGS	08069000	2017-07-05	40.2	A	63.89	A	43.3	A	36.9	A
USGS	08069000	2017-07-06	41.2	A	63.90	A	44.4	A	35.0	A
USGS	08069000	2017-07-07	41.4	A	63.90	A	45.5	A	35.9	A
USGS	08069000	2017-07-08	46.6	A	63.94	A	95.5	A	35.9	A
USGS	08069000	2017-07-09	263	A	64.64	A	2490	A	34.0	A
USGS	08069000	2017-07-10	2490	A	71.35	A	3130	A	1220	A
USGS	08069000	2017-07-11	610	A	66.33	A	1220	A	308	A
USGS	08069000	2017-07-12	334	A	65.43	A	639	A	214	A
USGS	08069000	2017-07-13	214	A	64.95	A	546	A	129	A
USGS	08069000	2017-07-14	174	A	64.79	A	251	A	114	A
USGS	08069000	2017-07-15	653	A	66.13	A	2340	A	79.7	A
USGS	08069000	2017-07-16	514	A	66.05	A	972	A	273	A
USGS	08069000	2017-07-17	185	A	64.85	A	276	A	133	A
USGS	08069000	2017-07-18	127	A	64.57	A	241	A	101	A
USGS	08069000	2017-07-19	168	A	64.77	A	243	A	115	A
USGS	08069000	2017-07-20	87.4	A	64.34	A	125	A	66.5	A
USGS	08069000	2017-07-21	84.6	A	64.31	A	207	A	55.3	A
USGS	08069000	2017-07-22	665	A	66.22	A	2300	A	65.1	A
USGS	08069000	2017-07-23	617	A:e			1090	A:e	364	A:e
USGS	08069000	2017-07-24	203	A:e			364	A:e	123	A:e
USGS	08069000	2017-07-25	92.6	A	64.38	A	127	A	75.1	A
USGS	08069000	2017-07-26	64.1	A	64.19	A	76.6	A	55.3	A
USGS	08069000	2017-07-27	53.1	A	64.11	A	62.3	A	47.8	A
USGS	08069000	2017-07-28	58.9	A	64.16	A	68.0	A	50.3	A
USGS	08069000	2017-07-29	54.3	A	64.12	A	63.9	A	48.0	A
USGS	08069000	2017-07-30	43.9	A	64.04	A	50.5	A	39.2	A
USGS	08069000	2017-07-31	41.7	A	64.02	A	45.8	A	38.2	A
USGS	08069000	2017-08-01	36.6	A	63.97	A	42.5	A	34.3	A
USGS	08069000	2017-08-02	78.0	A	64.24	A	307	A	32.6	A
USGS	08069000	2017-08-03	346	A	65.49	A	474	A	197	A
USGS	08069000	2017-08-04	171	A	64.78	A	285	A	108	A
USGS	08069000	2017-08-05	214	A	64.91	A	638	A	94.3	A
USGS	08069000	2017-08-06	119	A	64.51	A	240	A	74.7	A
USGS	08069000	2017-08-07	583	A	66.17	A	1770	A	124	A
USGS	08069000	2017-08-08	5520	A	78.52	A	7550	A	1770	A
USGS	08069000	2017-08-09	2280	A	70.80	A	3580	A	1530	A
USGS	08069000	2017-08-10	1220	A	68.07	A	1530	A	911	A
USGS	08069000	2017-08-11	648	A	66.48	A	941	A	425	A
USGS	08069000	2017-08-12	325	A	65.42	A	431	A	258	A
USGS	08069000	2017-08-13	213	A	64.98	A	258	A	180	A
USGS	08069000	2017-08-14	146	A	64.67	A	187	A	114	A
USGS	08069000	2017-08-15	95.4	A	64.39	A	114	A	85.2	A
USGS	08069000	2017-08-16	76.6	A	64.28	A	88.6	A	69.9	A
USGS	08069000	2017-08-17	65.9	A	64.21	A	77.3	A	58.8	A
USGS	08069000	2017-08-18	54.1	A	64.12	A	65.9	A	46.2	A
USGS	08069000	2017-08-19	49.6	A	64.08	A	57.5	A	45.1	A
USGS	08069000	2017-08-20	45.4	A	64.05	A	52.4	A	40.8	A
USGS	08069000	2017-08-21	44.4	A	64.04	A	52.4	A	39.8	A
USGS	08069000	2017-08-22	41.5	A	64.01	A	46.5	A	35.8	A
USGS	08069000	2017-08-23	40.6	A	64.01	A	45.4	A	35.9	A
USGS	08069000	2017-08-24	49.2	A	64.08	A	75.2	A	40.0	A
USGS	08069000	2017-08-25	87.9	A	64.35	A	105	A	75.2	A
USGS	08069000	2017-08-26	3720	A	74.13	A	8030	A	102	A
USGS	08069000	2017-08-27	17400	A	91.58	A	26400	A	8030	A
USGS	08069000	2017-08-28	29700	A	96.71	A	31500	A	26400	A
USGS	08069000	2017-08-29	27800	A	96.18	A	31300	A	22000	A
USGS	08069000	2017-08-30	16600	A	91.74	A	22000	A	12700	A
USGS	08069000	2017-08-31	9960	A	85.70	A	12700	A	7290	A
USGS	08069000	2017-09-01	5410	A	78.43	A	7290	A	4110	A
